Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE V1,40,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,10,5,1,1,100,SCHOOL OF BUSINESS,New Students [P]
ACC1002X,LECTURE X1,10,1,250,1,250,SCIENCE,Returning Students [P]
,,15,0,0,0,0,LAW,Returning Students [P]
,,160,51,1,1,3101,ENGINEERING,Returning Students [P]
,,25,2,159,1,1002,SCHOOL OF COMPUTING,Returning Students [P]
,,3,8,107,2001,2500,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,10,0,0,0,0,SCIENCE,New Students [P]
,,40,41,1,1,1513,ENGINEERING,New Students [P]
,,35,48,99,300,1294,SCHOOL OF COMPUTING,New Students [P]
,,2,2,100,1,1567,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
ACC1002X,LECTURE X2,15,0,0,0,0,SCIENCE,Returning Students [P]
,,160,57,1,1,5000,ENGINEERING,Returning Students [P]
,,25,7,1,1,300,SCHOOL OF COMPUTING,Returning Students [P]
,,3,2,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,15,0,0,0,0,SCIENCE,New Students [P]
,,40,51,10,200,1570,ENGINEERING,New Students [P]
,,35,36,10,21,1000,SCHOOL OF COMPUTING,New Students [P]
,,2,4,310,567,650,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
ACC1006,LECTURE J1,60,3,1,1,500,SCHOOL OF BUSINESS,Returning Students [P]
,,10,1,1,1,1,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE K1,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,60,4,1,1,315,SCHOOL OF BUSINESS,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,15,3,20,1,500,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE K2,12,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
,,60,2,1,1,100,SCHOOL OF BUSINESS,Returning Students [P]
,,8,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,15,6,1,1,1,SCHOOL OF BUSINESS,New Students [P]
ACC4611,SECTIONAL TEACHING J1,32,8,1,1,1220,SCHOOL OF BUSINESS,Returning Students [P]
ACC4612A,SECTIONAL TEACHING K1,15,9,1,1,1500,SCHOOL OF BUSINESS,Returning Students [P]
AR1102,DESIGN LECTURE 1,160,131,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1326,LECTURE 1,160,131,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1721,LECTURE 1,170,131,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2102,DESIGN LECTURE 1,155,93,1,1,1007,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2223,LECTURE 1,160,93,1,1,562,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2326,LECTURE 1,160,92,1,1,1007,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2724,LECTURE 1,160,89,1,1,562,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3102,DESIGN LECTURE 1,165,75,1,1,102,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3323,LECTURE 1,165,64,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3324,LECTURE 1,165,72,1,1,101,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4102,DESIGN LECTURE 1,86,54,1,1,5525,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4104,DESIGN LECTURE 1,65,39,1,1,456,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4142,LECTURE 1,3,1,1000,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
