Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE V1,23,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC1002X,LECTURE X1,11,30,11,1161,4657,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1002X,LECTURE X2,5,15,10,682,2000,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1006,LECTURE J1,30,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC2002,LECTURE K1,14,3,1,1,284,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC2002,LECTURE K2,54,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC4611,SECTIONAL TEACHING K1,6,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC4612A,SECTIONAL TEACHING L1,1,7,11,2169,2169,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC4612C,SECTIONAL TEACHING C1,8,1,231,1,231,SCHOOL OF BUSINESS,NUS Students [P, G]
AR1102,DESIGN LECTURE 1,7,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1326,LECTURE 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1721,LECTURE 1,23,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1724,LECTURE 1,21,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2102,DESIGN LECTURE 1,18,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2223,LECTURE 1,17,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2225,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2327,LECTURE 1,13,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3102,DESIGN LECTURE 1,8,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3323,LECTURE 1,20,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3324,LECTURE 1,10,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4104,DESIGN LECTURE 1,10,6,1,1,2,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4323,LECTURE 1,1,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5221,LECTURE 1,4,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
BL5233,LECTURE SL1,20,0,0,0,0,SCIENCE,NUS Students [P]
BN4201,LECTURE 1,15,0,0,0,0,ENGINEERING,NUS Students [P]
BN4202,LECTURE 1,13,0,0,0,0,ENGINEERING,NUS Students [P]
BN4402,LECTURE 1,39,1,1,1,1,ENGINEERING,NUS Students [P]
BN4404,LECTURE 1,14,0,0,0,0,ENGINEERING,NUS Students [P]
BSP1004X,LECTURE Y1,59,11,1,1,1226,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005,LECTURE D1,69,13,1,1,1028,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005,LECTURE D2,78,8,1,1,979,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2001,LECTURE G01,114,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2001,LECTURE G02,137,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
