Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,6,1,325,1,325,SCHOOL OF BUSINESS,Returning Students [P]
ACC1002X,LECTURE B1,3,14,1,2948,3500,SCIENCE,Returning Students [P]
,,29,13,1,1,2501,ENGINEERING,Returning Students [P]
,,1,7,1,720,720,SCHOOL OF COMPUTING,Returning Students [P]
,,18,1,3,1,3,SCHOOL OF BUSINESS,Returning Students [P]
,,10,20,150,485,597,SCIENCE,New Students [P]
,,35,49,2,253,748,ENGINEERING,New Students [P]
,,20,33,150,350,1000,SCHOOL OF COMPUTING,New Students [P]
,,9,13,1,50,599,SCHOOL OF BUSINESS,New Students [P]
,,1,1,3,1,3,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
,,2,5,542,800,1322,SCHOOL OF BUSINESS,NUS Students [G]
ACC1002X,LECTURE B2,7,22,1,2599,4000,SCIENCE,Returning Students [P]
,,18,10,1,1,3500,ENGINEERING,Returning Students [P]
,,10,14,11,409,1553,SCHOOL OF COMPUTING,Returning Students [P]
,,20,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,10,18,152,329,597,SCIENCE,New Students [P]
,,40,25,1,1,746,ENGINEERING,New Students [P]
,,20,25,5,111,645,SCHOOL OF COMPUTING,New Students [P]
,,9,6,1,1,597,SCHOOL OF BUSINESS,New Students [P]
,,1,2,1,746,746,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
,,2,3,350,750,1000,SCHOOL OF BUSINESS,NUS Students [G]
ACC1006,LECTURE C,5,5,3,1,604,SCHOOL OF BUSINESS,Returning Students [P]
ACC2002,LECTURE B,20,1,300,1,300,SCHOOL OF COMPUTING,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,2,2,10,1,21,SCHOOL OF BUSINESS,NUS Students [G]
AR1101,DESIGN LECTURE 1,150,123,1,1,248,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1121,LECTURE 1,150,124,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1221,LECTURE 1,210,175,1,1,700,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2101,DESIGN LECTURE 1,41,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2221,LECTURE 1,33,8,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2511,PACKAGED LECTURE 1,41,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2723,LECTURE 1,69,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN LECTURE 1,32,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3222,LECTURE 1,30,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4101,DESIGN LECTURE 1,33,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4103,DESIGN LECTURE 1,37,5,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4322,LECTURE 1,42,5,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5011,LECTURE 1,49,4,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5312,LECTURE 1,25,2,1,1,17,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5321,LECTURE 1,40,8,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5610,LECTURE 1,18,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AS2237,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS3232,SEMINAR-STYLE MODULE CLASS 1,1,1,1923,1,1923,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS3234,LECTURE 1,2,1,400,1,400,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS3240,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS4231,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
BN4406,LECTURE 1,3,5,10,20,4000,ENGINEERING,Returning Students [P]
BSP1004,LECTURE D1,7,2,1,1,1,ENGINEERING,Returning Students [P]
,,9,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,12,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,5,6,6,11,300,SCIENCE,New Students [P]
,,10,10,80,1,746,ENGINEERING,New Students [P]
,,10,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,2,4,10,200,700,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
,,2,1,797,1,797,SCHOOL OF BUSINESS,NUS Students [G]
BSP1004,LECTURE D2,9,1,1,1,1,ENGINEERING,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,3,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,5,2,1,1,51,SCIENCE,New Students [P]
,,10,11,1,5,351,ENGINEERING,New Students [P]
,,10,2,5,1,20,SCHOOL OF COMPUTING,New Students [P]
BSP1005A,LECTURE D1,10,1,1,1,1,ENGINEERING,Returning Students [P]
,,9,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,4,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,8,7,1,1,650,ENGINEERING,New Students [P]
,,20,12,1,1,100,SCHOOL OF COMPUTING,New Students [P]
,,1,3,200,510,510,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
BSP1005A,LECTURE D2,17,0,0,0,0,ENGINEERING,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,12,2,1,1,389,SCHOOL OF BUSINESS,Returning Students [P]
,,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,8,11,101,151,746,ENGINEERING,New Students [P]
,,20,10,1,1,5,SCHOOL OF COMPUTING,New Students [P]
,,1,2,60,110,110,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
