Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002X,LECTURE B1,25,52,1,1308,4337,SCIENCE,Returning Students and 
,,8,14,1,1000,4818,ENGINEERING,Returning Students and 
,,1,2,300,3231,3231,SCHOOL OF COMPUTING,Returning Students and 
,,16,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC1002X,LECTURE B2,25,57,1,1826,3508,SCIENCE,Returning Students and 
,,16,11,1,1,1000,ENGINEERING,Returning Students and 
,,6,8,1,35,2337,SCHOOL OF COMPUTING,Returning Students and 
,,23,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,1,2,100,451,451,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
ACC1006,LECTURE C1,20,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC1006,LECTURE C2,39,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
ACC2002,LECTURE B1,11,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,37,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC2002,LECTURE B2,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,51,2,1,1,148,SCHOOL OF BUSINESS,Returning Students and 
,,7,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
ACC4611,SECTIONAL TEACHING J1,19,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
AR1102,DESIGN LECTURE 1,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1326,LECTURE 1,32,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1721,LECTURE 1,45,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2102,DESIGN LECTURE 1,44,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2223,LECTURE 1,40,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2326,LECTURE 1,28,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2724,LECTURE 1,32,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3102,DESIGN LECTURE 1,28,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3323,LECTURE 1,26,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3324,LECTURE 1,25,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4102,DESIGN LECTURE 1,23,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4104,DESIGN LECTURE 1,31,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4323,LECTURE 1,30,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5011,LECTURE 1,53,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
BN4201,LECTURE 1,1,0,0,0,0,ENGINEERING,Returning Students and 
BN4202,LECTURE 1,19,0,0,0,0,ENGINEERING,Returning Students and 
BN4203,LECTURE 1,1,1,1001,1,1001,ENGINEERING,Returning Students and 
BN4402,LECTURE 1,14,1,1,1,1,ENGINEERING,Returning Students and 
BSP1004,LECTURE D1,2,1,202,1,202,SCIENCE,Returning Students and 
,,8,2,2,1,5230,ENGINEERING,Returning Students and 
,,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,1,1,50,1,50,SCHOOL OF BUSINESS,Returning Students and 
,,3,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [G]
BSP1004,LECTURE D2,1,1,2,1,2,SCIENCE,Returning Students and 
,,2,1,1,1,1,ENGINEERING,Returning Students and 
,,12,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,29,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
,,2,1,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
,,8,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP1005,LECTURE F1,2,2,1,1,38,SCIENCE,Returning Students and 
,,1,2,1,201,201,ENGINEERING,Returning Students and 
,,12,3,1,1,500,SCHOOL OF COMPUTING,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP1005,LECTURE F2,2,1,20,1,20,SCIENCE,Returning Students and 
,,18,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,14,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP2001,LECTURE A1,26,2,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
,,5,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP2001,LECTURE A2,38,2,50,1,100,SCHOOL OF BUSINESS,Returning Students and 
,,7,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP2005,LECTURE E1,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,50,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
,,5,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP2005,LECTURE E2,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,53,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,5,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP3001,SECTIONAL TEACHING A1,11,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A2,15,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A3,16,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A4,12,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A5,14,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A6,12,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BSP4512,SECTIONAL TEACHING B1,3,3,1,1,2501,SCHOOL OF BUSINESS,Returning Students and 
CE2112,LECTURE 1,58,1,1,1,1,ENGINEERING,Returning Students and 
,,10,0,0,0,0,ENGINEERING,Reserved for [G] in later round
CE2183,LECTURE 1,91,2,1,1,1,ENGINEERING,Returning Students and 
,,10,0,0,0,0,ENGINEERING,Reserved for [G] in later round
CE3115,LECTURE 1,86,1,1,1,1,ENGINEERING,Returning Students and 
CE3132,LECTURE 1,73,2,1,1,1,ENGINEERING,Returning Students and 
CE3155,LECTURE 1,54,0,0,0,0,ENGINEERING,Returning Students and 
CE3165,LECTURE 1,49,0,0,0,0,ENGINEERING,Returning Students and 
CE4103,LECTURE Dsg,54,1,1,1,1,ENGINEERING,Returning Students and 
CE4104,LECTURE Prj,88,1,1,1,1,ENGINEERING,Returning Students and 
CE4258,LECTURE 1,24,0,0,0,0,ENGINEERING,Returning Students and 
CE5106,LECTURE 1,12,0,0,0,0,ENGINEERING,Returning Students and 
CE5107,LECTURE 1,2,0,0,0,0,ENGINEERING,Returning Students and 
CE5112,LECTURE 1,10,0,0,0,0,ENGINEERING,Returning Students and 
CE5204,LECTURE 1,14,0,0,0,0,ENGINEERING,Returning Students and 
CE5207,LECTURE 1,13,0,0,0,0,ENGINEERING,Returning Students and 
CE5308,LECTURE 1,12,0,0,0,0,ENGINEERING,Returning Students and 
CE5313,LECTURE 1,8,0,0,0,0,ENGINEERING,Returning Students and 
CE5513,LECTURE 1,16,0,0,0,0,ENGINEERING,Returning Students and 
CE5603,LECTURE 1,1,2,1,5,5,ENGINEERING,Returning Students and 
CE5604,LECTURE 1,4,0,0,0,0,ENGINEERING,Returning Students and 
CE5611,LECTURE 1,15,1,5789,1,5789,ENGINEERING,Returning Students and 
CE5710,LECTURE 1,13,0,0,0,0,ENGINEERING,Returning Students and 
CE5711,LECTURE 1,15,0,0,0,0,ENGINEERING,Returning Students and 
CE5715,LECTURE 1,13,0,0,0,0,ENGINEERING,Returning Students and 
CE5806,LECTURE 1,15,1,2000,1,2000,ENGINEERING,Returning Students and 
CE5881,LECTURE 1,9,1,2000,1,2000,ENGINEERING,Returning Students and 
CG3204L,LECTURE 1,13,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
CH1101E,LECTURE 1,68,2,1,1,100,ARTS & SOCIAL SCIENCES,Returning Students and 
,,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH2141,LECTURE 1,74,12,1,1,408,ARTS & SOCIAL SCIENCES,Returning Students and 
,,20,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH2162,LECTURE 1,12,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
CH2225,LECTURE 1,25,4,1,1,200,ARTS & SOCIAL SCIENCES,Returning Students and 
,,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH2228,LECTURE 1,16,8,50,1,1600,ARTS & SOCIAL SCIENCES,Returning Students and 
,,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH2243,LECTURE 1,29,7,1,1,100,ARTS & SOCIAL SCIENCES,Returning Students and 
,,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH2291,LECTURE 1,150,18,1,1,2011,ARTS & SOCIAL SCIENCES,Returning Students and 
,,29,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH2292A,LECTURE 1,61,16,1,1,1444,ARTS & SOCIAL SCIENCES,Returning Students and 
,,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH3226,LECTURE 1,26,8,7,1,1000,ARTS & SOCIAL SCIENCES,Returning Students and 
,,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH3243,LECTURE 1,25,8,1,1,1600,ARTS & SOCIAL SCIENCES,Returning Students and 
,,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH3247,LECTURE 1,30,2,1,1,10,ARTS & SOCIAL SCIENCES,Returning Students and 
,,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH4202,SEMINAR-STYLE MODULE CLASS 1,11,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
CH4204,LECTURE 1,12,1,50,1,50,ARTS & SOCIAL SCIENCES,Returning Students and 
CH4226,SEMINAR-STYLE MODULE CLASS 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
CH4244,SEMINAR-STYLE MODULE CLASS 1,20,4,50,1,1000,ARTS & SOCIAL SCIENCES,Returning Students and 
CH4246,SEMINAR-STYLE MODULE CLASS 1,9,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
CH4261,SEMINAR-STYLE MODULE CLASS 1,17,5,1,1,2773,ARTS & SOCIAL SCIENCES,Returning Students and 
CH4281,SEMINAR-STYLE MODULE CLASS 1,18,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
CL1101E,LECTURE 1,119,2,50,1,1030,ARTS & SOCIAL SCIENCES,Returning Students and 
,,30,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CL2101,LECTURE 1,33,6,1,1,325,ARTS & SOCIAL SCIENCES,Returning Students and 
,,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
