Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,20,1,10,1,10,SCHOOL OF BUSINESS,Returning Students [P]
ACC1002X,LECTURE B1,130,63,1,1,3435,ENGINEERING,Returning Students [P]
,,45,18,1,1,1000,SCHOOL OF COMPUTING,Returning Students [P]
,,5,3,1,1,200,SCHOOL OF BUSINESS,Returning Students [P]
,,3,9,1,1010,3000,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
ACC1002X,LECTURE B2,50,29,1,1,861,SCIENCE,Returning Students [P]
,,15,0,0,0,0,LAW,Returning Students [P]
,,130,47,1,1,3500,ENGINEERING,Returning Students [P]
,,25,5,1,1,200,SCHOOL OF BUSINESS,Returning Students [P]
,,3,6,200,2101,3001,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
ACC2002,LECTURE B1,35,4,2,1,700,SCHOOL OF COMPUTING,Returning Students [P]
,,60,75,1,359,2068,SCHOOL OF BUSINESS,Returning Students [P]
AR1101,DESIGN LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR1121,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR1221,LECTURE 1,4,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2101,DESIGN LECTURE 1,155,108,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2221,LECTURE 1,160,108,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2511,LECTURE 1,155,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2723,LECTURE 1,160,108,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN LECTURE 1,145,85,1,1,50,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3222,LECTURE 1,145,86,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4101,DESIGN LECTURE 1,70,25,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4103,DESIGN LECTURE 1,70,29,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4323,LECTURE 1,80,31,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5011,LECTURE 1,90,23,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5312,LECTURE 1,25,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5321,LECTURE 1,135,53,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AS2237,LECTURE 1,5,4,100,1,700,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS3231,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS3234,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
BN3402,LECTURE 1,25,22,1,1,3500,ENGINEERING,Returning Students [P]
BN4301,LECTURE 1,60,38,1,1,6198,ENGINEERING,Returning Students [P]
BN4403,LECTURE 1,60,43,1,1,4549,ENGINEERING,Returning Students [P]
BN4406,LECTURE 1,60,17,1,1,2000,ENGINEERING,Returning Students [P]
BSP1004X,LECTURE Y1,10,7,1,1,1299,SCIENCE,Returning Students [P]
,,37,7,1,1,300,ENGINEERING,Returning Students [P]
,,40,6,7,1,350,SCHOOL OF COMPUTING,Returning Students [P]
,,15,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,2,1,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
BSP1005,LECTURE D1,20,8,1,1,17,SCIENCE,Returning Students [P]
,,20,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
,,18,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BSP1005,LECTURE D2,24,11,1,1,1455,ENGINEERING,Returning Students [P]
,,15,1,500,1,500,SCHOOL OF COMPUTING,Returning Students [P]
,,18,3,5,1,404,SCHOOL OF BUSINESS,Returning Students [P]
,,1,2,2,3,3,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
BSP1005,LECTURE D3,10,4,54,1,500,ENGINEERING,Returning Students [P]
,,18,4,10,1,1600,SCHOOL OF BUSINESS,Returning Students [P]
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
BSP2001,LECTURE A1,21,26,50,200,1711,SCHOOL OF BUSINESS,Returning Students [P]
BSP2001,LECTURE A2,21,24,10,50,2300,SCHOOL OF BUSINESS,Returning Students [P]
BSP2005,LECTURE E1,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,28,7,7,1,385,SCHOOL OF BUSINESS,Returning Students [P]
BSP2005,LECTURE E2,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,28,7,1,1,500,SCHOOL OF BUSINESS,Returning Students [P]
