Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,4,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,10,21,30,640,746,SCHOOL OF BUSINESS,New Students [P]
ACC1002X,LECTURE B1,1,12,700,5201,5201,ENGINEERING,Returning Students [P]
,,8,9,1,351,2277,SCHOOL OF COMPUTING,Returning Students [P]
,,22,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,9,20,60,201,514,SCIENCE,New Students [P]
,,40,57,1,650,748,ENGINEERING,New Students [P]
,,50,26,1,1,125,SCHOOL OF COMPUTING,New Students [P]
ACC1002X,LECTURE B2,5,18,1,2600,4000,SCIENCE,Returning Students [P]
,,17,7,1,1,3500,SCHOOL OF COMPUTING,Returning Students [P]
,,36,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,11,17,100,202,600,SCIENCE,New Students [P]
,,60,67,5,100,748,ENGINEERING,New Students [P]
,,40,44,7,20,500,SCHOOL OF COMPUTING,New Students [P]
ACC1006,LECTURE C,2,13,52,1995,2020,SCHOOL OF BUSINESS,Returning Students [P]
,,2,3,100,650,2167,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE B,4,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,2,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
ACC3601,SECTIONAL TEACHING A1,9,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC3601,SECTIONAL TEACHING A2,37,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC3601,SECTIONAL TEACHING A3,27,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC3602,SECTIONAL TEACHING B1,13,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC3602,SECTIONAL TEACHING B2,6,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC3603,SECTIONAL TEACHING C2,6,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC3604,SECTIONAL TEACHING D2,7,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC3605,SECTIONAL TEACHING E1,3,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC3605,SECTIONAL TEACHING E2,14,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC3614,SECTIONAL TEACHING H1,20,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
AR1101,DESIGN TUTORIAL 1,168,142,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1121,LECTURE 1,168,140,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1221,LECTURE 1,208,188,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2101,DESIGN TUTORIAL 1,14,2,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2221,LECTURE 1,12,12,1,1,2000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN TUTORIAL 1,64,5,1,1,2,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3222,LECTURE 1,53,6,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,20,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Reserved for [G] in later round
AR4101,DESIGN TUTORIAL 1,44,1,200,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4101,DESIGN TUTORIAL 3,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4103,DESIGN TUTORIAL 1,18,6,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4103,DESIGN TUTORIAL 3,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5011,LECTURE 1,78,2,10,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5321,LECTURE 1,26,7,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5610,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AS2213,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS2237,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS3234,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS3238,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
BCP4002A,LECTURE ZA1,500,2,1,1,50,SCHOOL OF BUSINESS,Returning Students [P]
BCP4002B,LECTURE ZB1,500,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001A,LECTURE ZA1,500,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001B,LECTURE ZB1,500,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001C,LECTURE ZC1,500,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BN4301,LECTURE 1,14,0,0,0,0,ENGINEERING,Returning Students [P]
BN4406,LECTURE 1,47,2,1,1,1,ENGINEERING,Returning Students [P]
BSP1004,LECTURE D1,1,3,888,2008,2008,ENGINEERING,Returning Students [P]
,,4,1,789,1,789,SCHOOL OF COMPUTING,Returning Students [P]
,,22,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,2,2,1,1,240,ENGINEERING,New Students [P]
,,5,1,20,1,20,SCHOOL OF COMPUTING,New Students [P]
,,10,25,100,348,770,SCHOOL OF BUSINESS,New Students [P]
BSP1004,LECTURE D2,24,2,1,1,13,SCHOOL OF BUSINESS,Returning Students [P]
,,2,5,1,548,748,ENGINEERING,New Students [P]
,,7,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,10,21,20,320,600,SCHOOL OF BUSINESS,New Students [P]
BSP1005,LECTURE D1,27,1,5,1,5,SCHOOL OF BUSINESS,Returning Students [P]
,,5,7,50,100,490,SCIENCE,New Students [P]
,,2,5,202,370,746,ENGINEERING,New Students [P]
,,10,31,70,551,718,SCHOOL OF BUSINESS,New Students [P]
BSP1005,LECTURE D2,23,1,10,1,10,SCHOOL OF BUSINESS,Returning Students [P]
,,5,9,10,35,450,SCIENCE,New Students [P]
,,3,8,1,500,748,ENGINEERING,New Students [P]
,,10,20,80,367,702,SCHOOL OF BUSINESS,New Students [P]
BSP2005,LECTURE E,12,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,3,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
BU4380,LECTURE 1,10,1,100,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
BU4480,LECTURE 1,22,3,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
BU4490,LECTURE 1,69,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
CE2134,LECTURE 1,72,6,1,1,500,ENGINEERING,Returning Students [P]
,,20,0,0,0,0,ENGINEERING,New Students [P]
,,20,0,0,0,0,ENGINEERING,Reserved for [G] in later round
CE2155,LECTURE 1,90,6,1,1,2,ENGINEERING,Returning Students [P]
,,20,0,0,0,0,ENGINEERING,New Students [P]
,,20,0,0,0,0,ENGINEERING,Reserved for [G] in later round
CE2184,LECTURE 1,110,5,1,1,1,ENGINEERING,Returning Students [P]
,,20,8,1,1,15,ENGINEERING,New Students [P]
,,20,1,1,1,1,ENGINEERING,Reserved for [G] in later round
CE2407,LECTURE 1,66,8,1,1,600,ENGINEERING,Returning Students [P]
,,20,0,0,0,0,ENGINEERING,New Students [P]
,,10,0,0,0,0,ENGINEERING,Reserved for [G] in later round
CE2408,LECTURE 1,75,4,1,1,1,ENGINEERING,Returning Students [P]
,,20,8,1,1,15,ENGINEERING,New Students [P]
,,20,0,0,0,0,ENGINEERING,Reserved for [G] in later round
CE3101,LECTURE 1,15,1,1,1,1,ENGINEERING,Returning Students [P]
,,10,0,0,0,0,ENGINEERING,Reserved for [G] in later round
CE3102,LECTURE 1,1,8,1,4259,4259,ENGINEERING,Returning Students [P]
,,5,0,0,0,0,ENGINEERING,New Students [P]
CE3115,LECTURE 1,58,4,1,1,2,ENGINEERING,Returning Students [P]
,,20,0,0,0,0,ENGINEERING,New Students [P]
CE3121,LECTURE 1,62,3,1,1,2,ENGINEERING,Returning Students [P]
,,20,0,0,0,0,ENGINEERING,New Students [P]
CE3165,LECTURE 1,82,1,1,1,1,ENGINEERING,Returning Students [P]
,,20,0,0,0,0,ENGINEERING,New Students [P]
CE4103,LECTURE 1,84,4,1,1,1,ENGINEERING,Returning Students [P]
CE4104,LECTURE 1,80,4,1,1,1,ENGINEERING,Returning Students [P]
CE4257,LECTURE 1,33,0,0,0,0,ENGINEERING,Returning Students [P]
CE5101,LECTURE 1,22,0,0,0,0,ENGINEERING,Returning Students [P]
CE5104,LECTURE 1,9,1,1,1,1,ENGINEERING,Returning Students [P]
CE5105,LECTURE 1,16,0,0,0,0,ENGINEERING,Returning Students [P]
CE5108,LECTURE 1,9,0,0,0,0,ENGINEERING,Returning Students [P]
CE5203,LECTURE 1,13,0,0,0,0,ENGINEERING,Returning Students [P]
CE5205,LECTURE 1,22,0,0,0,0,ENGINEERING,Returning Students [P]
CE5509,LECTURE 1,6,1,1,1,1,ENGINEERING,Returning Students [P]
CE5514,LECTURE 1,17,2,1,1,1,ENGINEERING,Returning Students [P]
CE5604,LECTURE 1,15,0,0,0,0,ENGINEERING,Returning Students [P]
CE5703,LECTURE 1,1,1,5,1,5,ENGINEERING,Returning Students [P]
CE5712,LECTURE 1,16,1,1000,1,1000,ENGINEERING,Returning Students [P]
CE5805,LECTURE 1,14,0,0,0,0,ENGINEERING,Returning Students [P]
CH1101E,LECTURE 1,44,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,169,77,1,1,201,ARTS & SOCIAL SCIENCES,New Students [P]
,,30,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
CH2121,LECTURE 1,13,6,44,1,950,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,30,6,7,1,53,ARTS & SOCIAL SCIENCES,New Students [P]
,,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
