Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,15,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC1002X,LECTURE B1,1,9,124,4200,4200,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1006,LECTURE C1,10,2,1,1,20,SCHOOL OF BUSINESS,NUS Students [P]
ACC1006,LECTURE C2,85,3,1,1,5,SCHOOL OF BUSINESS,NUS Students [P]
ACC2002,LECTURE B2,60,17,1,1,1355,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC4611,SECTIONAL TEACHING J1,12,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
AR1102,DESIGN TUTORIAL 1,4,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1326,LECTURE 1,3,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1721,LECTURE 1,17,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2102,DESIGN TUTORIAL 1,12,5,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2223,LECTURE 1,16,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2326,LECTURE 1,16,5,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2724,LECTURE 1,47,7,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3102,DESIGN TUTORIAL 1,8,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3323,LECTURE 1,22,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3324,LECTURE 1,10,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4102,DESIGN TUTORIAL 1,21,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4104,DESIGN TUTORIAL 1,18,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4223,LECTURE 1,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5011,LECTURE 2,25,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5221,LECTURE 1,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AS2213,SEMINAR-STYLE MODULE CLASS 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS3231,SEMINAR-STYLE MODULE CLASS 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS4231,SEMINAR-STYLE MODULE CLASS 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
BHT4001A,SECTIONAL TEACHING A1,284,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
