Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE V1,24,1,500,1,500,SCHOOL OF BUSINESS,Returning Students and 
ACC1002X,LECTURE X1,25,39,7,1354,3065,SCIENCE,Returning Students and 
,,18,0,0,0,0,LAW,Returning Students and 
,,83,23,1,1,1569,ENGINEERING,Returning Students and 
,,19,5,7,1,4000,SCHOOL OF COMPUTING,Returning Students and 
,,7,23,1,1509,2573,SCHOOL OF BUSINESS,NUS Students [G]
ACC1002X,LECTURE X2,25,43,1,901,3000,SCIENCE,Returning Students and 
,,104,20,1,1,1003,ENGINEERING,Returning Students and 
,,15,33,100,1356,2598,SCHOOL OF BUSINESS,NUS Students [G]
ACC1006,LECTURE J1,21,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,10,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
ACC2002,LECTURE K1,30,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,4,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC2002,LECTURE K2,54,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,27,18,1,1,1689,SCHOOL OF BUSINESS,NUS Students [G]
ACC4611,SECTIONAL TEACHING K1,3,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
ACC4612C,SECTIONAL TEACHING C1,7,1,2736,1,2736,SCHOOL OF BUSINESS,Returning Students and 
,,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
AR1102,DESIGN LECTURE 1,9,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1326,LECTURE 1,11,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1721,LECTURE 1,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1724,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2102,DESIGN LECTURE 1,18,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2223,LECTURE 1,17,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2225,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2327,LECTURE 1,13,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3102,DESIGN LECTURE 1,14,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3323,LECTURE 1,26,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3324,LECTURE 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4102,DESIGN LECTURE 1,3,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4104,DESIGN LECTURE 1,11,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4323,LECTURE 1,2,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5221,LECTURE 1,8,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
BL5233,LECTURE SL1,19,0,0,0,0,SCIENCE,Returning Students and 
BN4201,LECTURE 1,15,0,0,0,0,ENGINEERING,Returning Students and 
BN4202,LECTURE 1,12,0,0,0,0,ENGINEERING,Returning Students and 
BN4402,LECTURE 1,41,0,0,0,0,ENGINEERING,Returning Students and 
BN4404,LECTURE 1,14,1,500,1,500,ENGINEERING,Returning Students and 
