mod_id,module_name
1,ACC1002
2,ACC1002X
3,ACC1006
4,ACC2002
5,ACC4611
6,ACC4612A
7,ACC4612C
8,AR1102
9,AR1326
10,AR1721
11,AR1724
12,AR2102
13,AR2223
14,AR2327
15,AR3102
16,AR3323
17,AR3324
18,AR4102
19,AR4104
20,AR4323
21,AR5011
22,AR5221
23,BL5233
24,BN4201
25,BN4202
26,BN4203
27,BN4402
28,BN4404
29,BSP1004X
30,BSP1005
31,BSP2001
32,BSP2005
33,BSP3511
34,BSP4512
35,CE2112
36,CE2183
37,CE3101
38,CE3116
39,CE3132
40,CE3155
41,CE3165
42,CE4103
43,CE4104
44,CE4247
45,CE4258
46,CE5105
47,CE5106
48,CE5107
49,CE5204
50,CE5207
51,CE5513
52,CE5603
53,CE5604
54,CE5611
55,CE5805
56,CG3204L
57,CH1101E
58,CH2141
59,CH2228
60,CH2252
61,CH2273
62,CH2291
63,CH3226
64,CH3227
65,CH3243
66,CH3248
67,CH3261
68,CH4222
69,CH4224
70,CH4226
71,CH4244
72,CH4281
73,CL1101E
74,CL2103
75,CL2208
76,CL2209
77,CL2241
78,CL2281
79,CL3202
80,CL3203
81,CL3205
82,CL3281
83,CM1121
84,CM1161
85,CM1402
86,CM2101
87,CM2111
88,CM2121
89,CM2142
90,CM2263
91,CM3212
92,CM3221
93,CM3225
94,CM3232
95,CM3251
96,CM3261
97,CM3262
98,CM3264
99,CM3265
100,CM3291
101,CM3292
102,CM3296
103,CM3301
104,CM4215
105,CM4222
106,CM4223
107,CM4227
108,CM4236
109,CM4241
110,CM4268
111,CN1111
112,CN1111E
113,CN2108
114,CN2116
115,CN2116E
116,CN2125
117,CN2125E
118,CN3109
119,CN3124
120,CN3124E
121,CN4118E
122,CN4118R
123,CN4121
124,CN4203R
125,CN4208E
126,CN4210E
127,CN4211R
128,CN4215R
129,CN4223R
130,CN4227E
131,CN4227R
132,CN4247R
133,CN4248
134,CN4249
135,CN5111
136,CN5172
137,CN5191
138,CP3201
139,CS1010
140,CS1010E
141,CS1020
